,"w=0.9,a1=a2=1","w=0.7,a1=a2=1.4","w=0.7,a1=a2=2","w=0.7,a1=1.6,a2=0.6","w=0.5,a1=a2=2","w=0.3,a1=a2=2","w=0.1,a1=a2=2"
0,95.12756555159787,11.688774976820453,97.73420571439776,16.618749588001855,90.83676786260064,62.0292932062052,70.89035882633483
1,74.07277386690456,10.092077634586078,60.57751828177334,6.159954661722599,67.08957314792896,54.27471325610964,51.138132847930635
2,71.3932147174871,7.3939778779011665,53.54326781000453,4.733820884222978,55.60991044751487,41.35326458283987,39.93239761273207
3,65.18635582261598,5.987781493011654,46.8422286347842,4.280151236077969,49.85410481897513,27.83486365928475,36.04042490977694
4,62.856684153415145,5.0484125524850905,39.941456809466054,3.0292576085879115,42.30501275732312,24.962740579871827,26.04362499126931
5,61.59614810556013,4.056124990764597,38.699875327821616,2.047098187870105,38.857085203347964,21.422728529542898,21.922645160148715
6,61.170282005804246,3.2655721663899127,37.57078265576925,1.6461738781142392,37.11637978977062,19.675513370941594,19.076318454824353
7,52.543673654222694,2.76881111898269,34.6539372566715,1.1681864835855655,32.70513346485326,16.371140526308082,16.536086668092647
8,51.88630246886568,2.253809676351003,33.703926483338314,0.8672488008199466,31.069527010528663,14.07152259988801,14.418869782924874
9,50.45663290485889,1.8422811101879442,32.27724761277384,0.6316756823197726,26.698644034939374,12.191193131684447,12.73253328149006
10,50.45663290485889,1.5364726153188975,31.198039955803058,0.4632837304354786,23.93244514785839,10.457490745598694,10.895691704773434
11,48.97766302680255,1.254672913409734,28.899340934122954,0.3242722618645949,21.448777480156807,8.84965370809028,9.318158166652207
12,48.97766302680255,1.1237330250083133,28.194595556048746,0.2682695667263776,18.466778770059978,7.062166110390762,7.443179649067049
13,48.90959352427843,0.8400418473084018,27.42133973317431,0.19495203741835443,16.9921913062263,5.627946224238323,6.123921643695926
14,48.90959352427843,0.7507936361011024,26.705667314726377,0.13721009646902968,16.595719918943697,4.859565084140939,5.573766378458068
15,48.90959352427843,0.6361715612633709,26.38029097718684,0.11152000784626957,13.633431223875425,4.033433610711629,5.039130288965993
16,48.90959352427843,0.5228907885710211,26.003479345945433,0.08391036643645136,12.496210992627766,3.3306232907791946,4.2235129145940284
17,48.90959352427843,0.4345868606884015,25.527271570547693,0.06067386284518069,10.377204992434226,2.667150582043547,3.3821704706093696
18,48.90959352427843,0.3385278814226254,23.624225245732507,0.04945114028403959,9.760109297010946,2.1482139488675753,2.569832074939474
19,48.90959352427843,0.2850699670790254,23.241025312825982,0.0393104139979225,8.39568704605124,1.7812563700976407,1.978448210679382
20,48.90959352427843,0.23369227776749382,23.069335798406488,0.02555126513533396,7.8835556110771705,1.6386752817487322,1.3412186424024677
21,48.882430464721914,0.19988574862968828,22.526911210806553,0.01971591315447801,7.093444926782154,1.3716299354705501,0.9761997858583237
22,48.882430464721914,0.17202513416389914,22.219088099127354,0.014492201535730439,6.269041764476257,1.1629832469485073,0.8465627161747692
23,48.882430464721914,0.13356953107410865,22.100738935370995,0.010792940775037034,5.668647101708298,1.0078018892639828,0.561481805124022
24,48.882430464721914,0.10163320717363876,19.493588662757034,0.009151512041022908,4.568782480227998,0.8534251632110013,0.3528341517043564
25,48.71164693491987,0.08440124123042952,18.644436673542074,0.006785610269238627,4.345880540984451,0.6600626778609261,0.26616379186061406
26,48.71164693491987,0.07427864484416204,18.53710102599143,0.004450571624821263,3.6006929746627048,0.35752935682192744,0.21169391216470307
27,48.71164693491987,0.06161297655367335,17.686418977181823,0.0033085222056313704,3.2267906401078714,0.2892391349747943,0.1659905589955319
28,48.71164693491987,0.05698372957183144,17.168426894965016,0.002370515781483249,2.926184397627869,0.26740646296042786,0.12606309174530783
29,48.71164693491987,0.047586607901864336,17.060922981188007,0.0019351239473935557,2.684054308727736,0.1880139037889659,0.076837139862146
30,48.71164693491987,0.0395683790795617,16.519723872073293,0.0013364196784103133,2.331915629936327,0.15019383207148682,0.06633860407998625
31,48.71164693491987,0.029762761416105423,16.48939181806826,0.001023342549613041,2.1978898337457524,0.11225432387482975,0.04955950502101299
32,48.71164693491987,0.027201466003960097,15.597746504363988,0.0007471857105468864,1.862313712285869,0.08428956296276789,0.031068243086338067
33,48.71164693491987,0.021778732928779413,15.457177218661514,0.0005634421274369345,1.7078956499286222,0.07180743700046793,0.0196534164392928
34,48.71164693491987,0.017863979893129815,15.223187704625706,0.00040732575051459025,1.527332843223686,0.06032446109302936,0.016272687411066914
35,48.71164693491987,0.014295149978064432,14.539289361533255,0.0003429076676235503,1.3069985753607445,0.03858455298202237,0.010507277300001222
36,48.71164693491987,0.011906850912174369,14.080712151031827,0.00025055108373058064,1.1027025510194037,0.028665776994069362,0.00787590096918678
37,48.71164693491987,0.010954808318947212,13.72057793788491,0.0001833852111670086,0.9948854387587597,0.022210325680245394,0.006856697255361249
38,48.71164693491987,0.009388181124260247,13.528647144460264,0.00013461247257813607,0.9107858223604275,0.019383072349172047,0.005222112450881897
39,48.71164693491987,0.007832316060955004,13.012135801282806,0.00010348822260997003,0.8139343508460073,0.014662543313714131,0.004132316730435442
40,48.71164693491987,0.0068792961090138344,12.926142418721119,8.0514830726894e-05,0.7420366242339191,0.01234971735099139,0.002329451073635006
41,48.71164693491987,0.005860986378598919,12.507280713350744,6.146702166685969e-05,0.5864445581285316,0.010913237494356336,0.0015256605029925422
42,48.71164693491987,0.005365741624243104,12.419597356561221,4.671628873143099e-05,0.49166444185015556,0.008400630967412639,0.0011588108544197384
