,Rastrigin_process
0,0.08405076141154237
1,0.08674893228108264
2,0.08842033598920108
3,0.08856009677462691
4,0.08888140956731279
5,0.08915884400341585
6,0.08960810437726181
7,0.08981892260732689
8,0.09021589276604956
9,0.09038166425161817
10,0.09040892808701859
11,0.09052975135219991
12,0.09122493130201705
13,0.09137701573892827
14,0.09143573556366168
15,0.09153390152944314
16,0.0915770417625655
17,0.09173408768956666
18,0.09178684388241508
19,0.0919346720315441
20,0.0919848493419806
21,0.09213130074735136
22,0.09283315925529045
23,0.0929510058400669
24,0.09298258413654246
25,0.09305616605275306
26,0.09306416361593922
27,0.09326010153927032
28,0.09333269309447238
29,0.09349641389325014
30,0.09363030238059175
31,0.09399202949152721
32,0.09407134613043194
33,0.09409635091213908
34,0.09426577096873573
35,0.09454544041994854
36,0.09455558971377861
37,0.09515504938112221
38,0.09600017443582871
39,0.09611389540520067
40,0.09616493203839274
41,0.09630493492796191
42,0.0963833860938511
43,0.0964086962403187
44,0.09646366500859696
45,0.09650108546984497
46,0.09651188817233398
47,0.09651265963346205
48,0.09654899424668903
49,0.09695104407066883
50,0.097543045389794
51,0.09765231583241064
52,0.09773091602514163
53,0.09788054701340589
54,0.09834459900383112
55,0.09843493169175774
56,0.09844169254894677
57,0.09853242492261748
58,0.09859059033315368
59,0.09861025506898284
60,0.09866828796331273
61,0.09869665893291621
62,0.09875784797381622
63,0.0989287399389844
64,0.09904188221605541
65,0.09906817582264407
66,0.09916711387704683
67,0.09917067169656336
68,0.09917954596313003
69,0.09918670729792398
70,0.09923371123116995
71,0.09923881306314399
72,0.0997303537549062
73,0.09981678500719317
74,0.0999160589764594
75,0.10004106545893666
76,0.10012271454360785
77,0.10067735611535017
78,0.10073894702210835
79,0.10074230018896937
80,0.10090802784778251
81,0.10094638795553652
82,0.10098403487535855
83,0.10110277253563596
84,0.10120313946822043
85,0.10120577986637457
86,0.10126392015238878
87,0.10141666634498588
88,0.10179920553267711
89,0.10179920553267711
90,0.10202585073441282
91,0.10204324102487128
92,0.10204625724088018
93,0.10215135541027136
94,0.10216801040636697
95,0.10257816325101118
96,0.10286316869322272
97,0.10315755601614475
98,0.10339248085150178
99,0.10350498719391213
100,0.1035925430950826
101,0.10428996120160496
102,0.10466436840764475
103,0.1047789908356175
104,0.1047789908356175
105,0.10496190734029344
106,0.10499627448424788
107,0.10571277374489434
108,0.10579297114896959
109,0.10581628020235155
110,0.10583462531931404
111,0.10598741460891442
112,0.1060279903063449
113,0.10603748408088702
114,0.10613912177796732
115,0.10617394685910471
116,0.10617394685910471
117,0.10617394685910471
118,0.10634056264261663
119,0.10635785417489423
120,0.10638274692176204
121,0.10641359655381394
122,0.10642725451474
123,0.10644330649914839
124,0.10644541566851172
125,0.10652161763178004
126,0.10686932810755306
127,0.10696390434939738
128,0.10696390434939738
129,0.10696551449850306
130,0.10731118375946735
131,0.1075331120033532
132,0.10762544824045683
133,0.10762544824045683
134,0.10776839100573464
135,0.10777927875355883
136,0.10778566260648723
137,0.10778948002798637
138,0.10781975748903709
139,0.10781975748903709
140,0.10782737965136954
141,0.10784384363526403
142,0.10791485812844255
143,0.10792045000983808
144,0.1079480455578584
145,0.1079534140453233
146,0.1079646850014757
147,0.10805478374208842
148,0.10812900274566067
149,0.10813612301881184
150,0.10815159269606414
151,0.10825305322445562
152,0.10834678788526203
153,0.10838782428319456
154,0.10839247809214467
155,0.10842329704355783
156,0.10843292790204645
157,0.10843292790204645
158,0.10850847968604338
159,0.10852016359428993
160,0.10854839462312757
161,0.10854839462312757
162,0.10859470639962725
163,0.108718180258819
164,0.10876131185958249
165,0.10879118025233261
166,0.10879118025233261
167,0.10880025643628354
168,0.10881435501814168
169,0.10887974358989715
170,0.10887974358989715
171,0.10905643593595984
172,0.10905643593595984
173,0.10916187434519199
174,0.10920344843755796
175,0.1093170974176124
176,0.10934404828732099
177,0.10935946103973956
178,0.10941003025346611
179,0.10948726797081738
180,0.10948726797081738
181,0.10957120292284002
182,0.1096197275187112
183,0.1096197275187112
184,0.10971560575185432
185,0.10979702622264471
186,0.10979702622264471
187,0.10985078013353107
188,0.10985572104395902
189,0.10991778729410358
190,0.10991778729410358
191,0.10991778729410358
192,0.10991778729410358
193,0.10991778729410358
194,0.11031622745650733
195,0.11031622745650733
196,0.11084866785104791
197,0.11084866785104791
198,0.1108710617693654
199,0.11090599776728029
200,0.11090599776728029
201,0.11092208907912242
202,0.11094293852021148
203,0.1109603485641569
204,0.111114125081156
205,0.111114125081156
206,0.11116230144560049
207,0.11116230144560049
208,0.11120748467685536
209,0.11131396311724634
210,0.11131396311724634
211,0.11135274872457918
212,0.11141425850817432
213,0.11148574108748636
214,0.11148574108748636
215,0.11151656875731181
216,0.11151656875731181
217,0.11153706366873006
218,0.11166635765260945
219,0.11170726466901829
220,0.11170923562802323
221,0.11173951399516285
222,0.1118074910497364
223,0.1118074910497364
224,0.1118162723260499
225,0.11182726175894117
226,0.11188249339438121
227,0.11188249339438121
228,0.1119451104286486
229,0.11196107981706008
230,0.11198670746326997
231,0.11200046521549885
232,0.11200046521549885
233,0.112107350546409
234,0.11220219112933316
235,0.11221078104180898
236,0.11221078104180898
237,0.11224516665981828
238,0.11238504981150695
239,0.11256568833515858
240,0.11256568833515858
241,0.11258311278023204
242,0.11258311278023204
243,0.11262051520488262
244,0.11262111280282143
245,0.11262111280282143
246,0.11262111280282143
247,0.11262877574705948
248,0.11268531266151299
249,0.11274300361955696
250,0.11274300361955696
251,0.11274300361955696
252,0.11274636718275616
253,0.11276826811859664
254,0.11276826811859664
255,0.11282428444062065
256,0.11287897475582381
257,0.11287897475582381
258,0.11287897475582381
259,0.11288120567060607
260,0.11290730912569528
261,0.11290730912569528
262,0.11292637197647722
263,0.11292637197647722
264,0.11296400593669018
265,0.11296769509888911
266,0.11303033012751365
267,0.11306325596353975
268,0.11306810503654367
269,0.1130722419694011
270,0.1130722419694011
271,0.11312124396608593
272,0.11318771243075264
273,0.11319432650639873
274,0.11319915202478753
275,0.1133037246504626
276,0.11332237540947054
277,0.113413767367289
278,0.113413767367289
279,0.113413767367289
280,0.11343424365623783
281,0.11346590991748721
282,0.11347422808548228
283,0.11357772863438331
284,0.11360106381102159
285,0.11372454601317843
286,0.11373719447318185
287,0.11373719447318185
288,0.11375696258265088
289,0.11378399285891076
290,0.1137971550707907
291,0.11385015867780036
292,0.11387662318540458
293,0.1139143163169733
294,0.1139143163169733
295,0.11399488424204943
296,0.1140502349967898
297,0.1140502349967898
298,0.1140502349967898
299,0.1140912929925238
