,Rastrigin_process
0,0.07340505828084506
1,0.07789400613021343
2,0.07997402695203525
3,0.08024492242109714
4,0.08055465896842147
5,0.0811118716445252
6,0.08165264344345623
7,0.08220426140098386
8,0.08234246826082871
9,0.08269940868743365
10,0.08256135924568613
11,0.08319173780219012
12,0.08324613135089455
13,0.08336043844595774
14,0.08307808118962767
15,0.08352664158059192
16,0.08369912679623623
17,0.08382594000983687
18,0.08387302091255967
19,0.08448969488209478
20,0.08466745233110581
21,0.08482625882211599
22,0.08476261838098015
23,0.08493100933885911
24,0.08471522059417001
25,0.08499952698970177
26,0.0852369618298266
27,0.08535573869946324
28,0.0852207464947838
29,0.08558519137841292
30,0.08599875240756366
31,0.08579877673873945
32,0.0864324640906826
33,0.08582610457840781
34,0.08649450514633375
35,0.0868559654690102
36,0.08666192347234603
37,0.08677595528184791
38,0.08677277648248148
39,0.08665371792388205
40,0.0864041429004913
41,0.08616599406182754
42,0.08639065479147472
43,0.08652329940337013
44,0.08619515092157908
45,0.08636750654185095
46,0.08623921598112551
47,0.08625300190822448
48,0.08649622802630864
49,0.08632371365516518
50,0.08638890756036752
51,0.08643947459909833
52,0.08646193568856492
53,0.08687194825758743
54,0.08703929686923538
55,0.0869422451731109
56,0.08660094746923766
57,0.08685346446140582
58,0.08694580851507858
59,0.08711123403100492
60,0.08750409858669052
61,0.08742931014754315
62,0.08756022824069268
63,0.08826320934396005
64,0.08856854311582779
65,0.08855805044899139
66,0.08840636516497767
67,0.08840403587736782
68,0.08853454547004662
69,0.08841266807887323
70,0.08861436863525486
71,0.08865742698532456
72,0.08953915579602494
73,0.08957976776540567
74,0.08960045628963731
75,0.08918450393816489
76,0.08976605581462331
77,0.08968725319362016
78,0.0898357637921783
79,0.08985167649127436
80,0.09046880394614158
81,0.09057675112868607
82,0.09065129655938267
83,0.09021162654529276
84,0.09116810423676602
85,0.09099219358147909
86,0.09084380901747567
87,0.09114938490715556
88,0.09154324814740235
89,0.09136793828409935
90,0.09147415255191338
91,0.09219577177512102
92,0.09219305509045043
93,0.09270948576525855
94,0.09274941876229811
95,0.09275205151830622
96,0.0925589150139235
97,0.09267897597035453
98,0.09235689504452413
99,0.09249392849850896
100,0.09260628765481364
101,0.09245586581849975
102,0.09219578462915136
103,0.09247542164614724
104,0.09246129115663612
105,0.09273233849291988
106,0.09277210683638455
107,0.09294600631210233
108,0.09332256390349694
109,0.09348725154390941
110,0.0934255368689878
111,0.09356134458773169
112,0.09362208248581956
113,0.09362653177722284
114,0.09357246754923867
115,0.0938835956306253
116,0.09404630182164395
117,0.0944298381314643
118,0.09391177434953342
119,0.09423373984676318
120,0.09411854709332204
121,0.09433472860137761
122,0.09431746349918238
123,0.09459761267704452
124,0.09473157461200124
125,0.09498031147024748
126,0.09505097080070649
127,0.0952587550531257
128,0.09544950848711496
129,0.0955979709442842
130,0.09562644023320659
131,0.0955207237167894
132,0.09561210298597055
133,0.09551288914727762
134,0.09554861458501532
135,0.09607188588231823
136,0.09577670697246617
137,0.09571487803728879
138,0.09566606251658957
139,0.09559307341905142
140,0.09565683915263624
141,0.09586967875812137
142,0.09601982712545273
143,0.09581881709148334
144,0.09586332830346797
145,0.09592453921667214
146,0.09610104408210747
147,0.09619776448835728
